,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,difficulty_level
1832,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,9,1.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,r2l,13
1916,5080,tcp,ftp,SF,1042,2279,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,22,0.09,0.02,0.0,0.0,0.13,0.0,0.0,0.0,r2l,6
2143,1,tcp,ftp,SF,1170,2447,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120,18,0.15,0.05,0.01,0.0,0.02,0.0,0.07,0.0,r2l,3
2243,0,tcp,ftp,SF,1230,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,173,1,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.0,r2l,6
2294,32,tcp,ftp,SF,104,449,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,7
2545,0,tcp,ftp,SF,1259,2453,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,55,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,6
2798,0,tcp,telnet,RSTO,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13,13,1.0,0.0,0.08,0.0,0.08,0.08,0.92,0.92,r2l,10
2826,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.5,1.0,1.0,6,24,0.83,0.33,1.0,0.12,0.0,0.0,0.0,0.0,r2l,3
3005,718,tcp,telnet,SF,1412,25260,0,0,0,15,0,1,38,1,0,54,4,1,2,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,1
3269,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,23,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,r2l,12
3424,2,tcp,ftp,SF,1227,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,60,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,7
3616,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,25,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,r2l,10
3686,5036,tcp,ftp_data,SF,5133876,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,43,0.91,0.18,1.0,0.12,0.0,0.0,0.0,0.0,r2l,6
4244,1,tcp,ftp,SF,1213,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,132,0.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
4255,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,50,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,r2l,11
4262,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,22,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,r2l,13
4263,1,tcp,ftp,SF,1276,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,132,0.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
4365,0,tcp,ftp_data,SF,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,44,1.0,0.0,1.0,0.09,0.0,0.0,0.25,0.02,r2l,6
4404,4,tcp,ftp_data,SF,832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,11,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,r2l,13
4655,2,tcp,ftp,SF,1268,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,254,82,0.32,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,13
4767,1,tcp,ftp,SF,1190,2447,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,133,0.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
4969,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,21,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,r2l,12
5021,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,46,0.93,0.14,1.0,0.11,0.0,0.0,0.0,0.0,r2l,3
5030,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,46,1.0,0.0,1.0,0.07,0.0,0.02,0.0,0.0,r2l,10
5089,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,27,1.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,r2l,11
5261,5066,tcp,ftp_data,SF,5133876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,60,1.0,0.0,1.0,0.12,0.25,0.02,0.0,0.0,r2l,14
5479,0,tcp,ftp,SF,1242,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,109,7,0.06,0.06,0.01,0.0,0.02,0.0,0.07,0.0,r2l,3
5931,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,54,1.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,r2l,9
6086,0,tcp,imap4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,124,0.67,0.76,0.0,0.04,1.0,0.0,0.36,9,9,1.0,0.0,0.78,0.0,0.56,0.56,0.0,0.0,r2l,17
6191,1,tcp,ftp,SF,1261,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,135,0.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
6436,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,49,0.94,0.12,1.0,0.1,0.0,0.0,0.0,0.0,r2l,3
6477,0,tcp,ftp_data,SF,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,83,0.33,0.07,0.35,0.0,0.02,0.05,0.0,0.0,r2l,0
6623,2,tcp,ftp,SF,1263,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,252,80,0.32,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,13
6636,0,tcp,telnet,RSTO,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21,21,1.0,0.0,0.05,0.0,0.05,0.05,0.95,0.95,r2l,9
6692,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,9,1.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,r2l,13
6693,5044,tcp,ftp_data,SF,5131424,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,39,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,r2l,12
6753,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,49,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,r2l,10
6855,2,tcp,ftp,SF,1233,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,120,0.47,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,15
7040,10,tcp,ftp_data,SF,0,5150180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,9
7139,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,25,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,r2l,11
7307,9,tcp,ftp_data,SF,0,5149533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,9
7623,3,tcp,ftp,SF,1233,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,29,0.11,0.02,0.0,0.0,0.11,0.0,0.0,0.0,r2l,7
7833,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,41,1.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,r2l,12
7860,4,tcp,ftp,SF,1240,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,213,41,0.19,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,8
8134,1,tcp,ftp,SF,1248,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,114,0.45,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,16
8160,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,45,1.0,0.0,1.0,0.07,0.0,0.02,0.0,0.0,r2l,11
8205,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,21,1.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,r2l,14
8253,0,tcp,ftp,SF,1224,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,222,50,0.23,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,8
8305,1,tcp,ftp,SF,1222,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,93,0.36,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,14
8492,9,tcp,ftp_data,SF,0,5150772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,9
8924,0,tcp,ftp,SF,1248,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,87,0.34,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,13
8927,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,48,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,r2l,9
8984,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,33,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,r2l,11
8987,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,9,1.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,r2l,14
9022,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,15,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,r2l,14
9129,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,15,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,r2l,14
9133,0,tcp,ftp,SF,1225,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,116,0.45,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
9516,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,28,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,r2l,13
9897,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,26,1.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,r2l,13
9909,5062,tcp,ftp_data,SF,5133876,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,69,0.27,0.08,0.32,0.0,0.01,0.01,0.0,0.0,r2l,3
10001,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,11,1.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,r2l,14
10047,0,tcp,telnet,RSTO,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16,16,1.0,0.0,0.06,0.0,0.06,0.06,0.94,0.94,r2l,9
10216,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,85,0.33,0.07,0.35,0.0,0.01,0.04,0.0,0.0,r2l,0
10278,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,17,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,r2l,15
10569,5057,tcp,ftp_data,SF,5135678,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,13
10579,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,37,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,r2l,11
10738,0,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.5,1.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,r2l,1
11054,0,tcp,ftp_data,SF,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,39,1.0,0.0,1.0,0.15,0.0,0.03,0.0,0.0,r2l,9
11184,3,tcp,ftp,SF,1240,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,33,0.13,0.02,0.0,0.0,0.09,0.0,0.0,0.0,r2l,5
11190,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,48,1.0,0.0,1.0,0.12,0.0,0.02,0.0,0.0,r2l,9
11223,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,38,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,r2l,12
11468,1,tcp,ftp,SF,1183,2447,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,130,0.51,0.02,0.0,0.0,0.0,0.0,0.0,0.0,r2l,11
11550,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,36,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,r2l,10
11551,12,tcp,http,SF,51,8127,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,246,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,r2l,4
11901,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,31,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,r2l,12
12124,1,tcp,ftp,SF,1183,2445,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,88,0.35,0.02,0.0,0.0,0.0,0.0,0.01,0.0,r2l,14
12200,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,20,1.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,r2l,12
12201,5055,tcp,ftp,SF,1049,2274,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,26,0.1,0.02,0.0,0.0,0.12,0.0,0.0,0.0,r2l,2
12259,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,10
12291,0,tcp,imap4,SF,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,125,0.5,0.75,0.0,0.04,1.0,0.0,0.36,10,10,1.0,0.0,0.8,0.0,0.5,0.5,0.0,0.0,r2l,17
12310,0,tcp,ftp_data,S2,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,57,1.0,0.0,1.0,0.12,1.0,0.02,0.0,0.0,r2l,14
12318,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l,10
12375,0,tcp,ftp,SF,36,197,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.05,0.0,0.0,0.39,0.0,0.05,0.0,r2l,14
